text_res_unit_nbr,Count
13B4,2
13C,3
13D,5
13E,5
13F,2
13G,2
13X,1
14,685
14-10,1
14-101,2
14-102,1
14-103,1
14-106,1
14-201,2
14-203,1
14-205,1
14-206,3
14-208,1
14-301,1
14-303,3
14-306,1
14-88,1
14 C,1
14 I,2
140,95
1400,8
1401,104
14014,1
1402,96
14024,1
1403,96
1404,96
1405,79
1406,82
1407,67
14075,1
1408,72
1409,62
140B,1
141,76
1410,56
14101,7
14102,9
14103,12
14104,8
14105,9
14106,16
14107,5
14108,5
14109,5
1411,78
14110,5
14111,6
14112,2
14114,1
14115,2
14118,2
14119,2
1412,66
14122,2
14123,2
14124,1
14125,1
14127,2
14128,1
14129,2
1413,45
14130,2
14131,1
14132,2
14134,1
1414,46
1415,48
1416,41
1417,37
1418,22
1419,9
141A,1
141B,1
142,78
1420,15
14201,10
14202,7
14203,9
14204,15
14205,7
14206,8
14207,5
14208,2
14209,2
1421,31
14210,3
14211,6
14212,2
14213,1
14214,2
14215,1
14219,1
1422,33
14222,1
14223,1
14224,1
14225,2
14227,1
14228,1
14229,1
1423,35
1423-A,1
14230,1
14231,1
14232,2
14234,2
1424,22
1425,14
1426,17
1427,14
1428,17
1429,3
142A,1
142B,1
143,65
14301,5
14302,1
14303,2
14304,3
14305,4
14306,4
14307,2
14308,1
14309,2
1431,14
14310,1
14311,3
14312,2
14313,1
14315,2
14318,1
14319,1
1432,10
14322,2
14323,2
14324,1
14325,2
14327,2
14328,1
14329,1
1433,12
14330,1
14331,1
14332,3
14334,2
1434,8
1435,7
1436,6
1437,5
1437A,1
1438,5
144,93
1440,2
14401,1
14403,1
14404,1
14405,2
14406,1
14407,2
14408,1
14409,1
14411,1
14412,1
14414,1
14415,1
14418,1
14419,1
14422,1
14423,1
14424,1
14425,1
14427,1
14428,2
14429,1
14430,2
14431,1
14433,1
14434,2
14439,1
1445,2
1446,1
14464,1
1447,1
1448,2
1449,1
145,85
145-OSW,1
1454,1
1455,1
1456,1
146,65
1460,1
1462,1
1464,2
1467,1
1468,1
1468-28,1
147,77
148,66
149,58
1491,1
14A,23
14A1,2
14A2,4
14A5,2
14B,10
14B4,2
14B8,2
14C,5
14D,5
14E,6
14F,1
14G,1
14H,2
14I,3
14K,1
14L,1
14O,1
14P,2
15,648
15-101,3
15-102,2
15-103,2
15-104,3
15-105,2
15-106,5
15-1A,1
15-201,1
15-202,1
15-204,1
15-206,2
15-208,1
15-301,1
15-303,1
15-305,1
15-A5,1
150,47
1500,20
15001,1
15003,2
15005,1
15006,1
15007,1
15009,1
1501,105
1502,92
1503,85
1504,72
1505,67
1506,63
1506-I,1
1507,54
1508,54
1509,32
150B,1
151,64
1510,33
15101,9
15102,8
15103,14
15104,9
15105,13
15106,12
15107,8
15108,5
15109,3
1511,44
15110,3
15111,4
15112,2
15113,2
15114,1
15115,2
15116,1
15117,2
15118,1
1512,40
1513,22
1514,30
1515,28
1516,41
1517,23
1518,19
1519,8
151A,1
152,57
1520,9
15201,14
15202,15
15203,11
15204,10
15205,15
15206,19
15207,3
15208,4
15209,2
1521,19
15210,2
15211,2
15212,3
15213,2
15214,1
15215,1
15216,2
15217,2
15218,2
1522,33
1523,17
1524,22
1525,11
1526,18
1527,18
1528,21
1529,2
152A,4
152B,4
152S,1
153,66
1530,1
15301,4
15302,2
15303,4
15304,1
15305,1
15306,3
15308,1
1531,9
15310,1
15311,2
15312,2
15313,3
15314,1
15316,1
15317,2
15318,1
1532,8
1533,7
1534,6
1535,5
1536,1
1537,3
1538,4
153W,1
154,65
154 -DOWNS,1
1540,2
15401,2
15402,1
15403,1
15404,1
15405,2
15406,1
15407,1
15408,1
1541,2
15411,2
15412,1
15413,1
15414,1
15415,1
15416,1
15417,2
15418,1
1544,2
1545,2
1546,1
1547,1
1548,2
154B,1
155,63
15552,1
1557,1
155B,1
156,54
1568,1
157,51
157 OSWALD,1
1576,1
157A,1
158,45
1587,1
159,49
1590,1
15A,32
15A6,1
15B,19
15B3,1
15C,14
15D,10
15E,5
15F,4
15G,4
15H,2
15W,1
16,593
16-1,1
16-101,5
16-103,3
16-105,2
16-106,3
16-2,1
16-201,3
16-202,1
16-203,3
16-204,1
16-205,1
16-206,2
16-303,2
160,59
160 / G103,1
160 A215,1
160 F204,1
160 G 139,1
160 G149,1
160 G236,1
160 G245,1
160 RM G11,1
160 RM211F,1
1600,16
1601,82
1602,84
1603,79
1604,61
1605,44
