precinct_text_name,Count
Duck Creek TWP,39
Durham City,60
Durham Park Township,69
Durham Twp,11
DW01-01,31
E Cooper 055,33
E Hibbard Twp,72
E Sawlog,32
E St John 003,333
E Wakarusa 65 C1 S2 H42,34
E Wakarusa 65 C1 S2 H46,3
E Wakarusa 65 C2 S2 H42,16
E Wakarusa 65 C2 S3 H10,4
E Wakarusa 65 C2 S3 H42,33
E. Center,82
E. Sibley,63
E.Meredith,39
EA,815
Eagle,87
Eagle Township Prct 3,26
East Branch,130
East Cottonwood Falls,207
East Ellsworth 1-18,435
East Ellsworth 2-19,420
East Elm Twp,133
East Erie Twp,417
East Fairview,675
East Falls,97
East Hale Twp,75
East Hess Twp,112
East Illinois,16
East Lincoln 107,26
East Lincoln 64,149
East Marion Township,306
East Middle Creek,953
East Morgan Twp,198
East Ogallah Township,50
East Peck - Tecumseh,441
East Rossville - Rossville,679
East Sarcoxie Township,639
East Second,548
East Silver Lake - Silver Lake,832
East Soldier - Soldier,784
East Strong,102
East Strong City,256
East Third,1113
East Union Township,614
East Valley H6,313
East Valley H9 Part A,18
East Valley H9 Part B,2
East Washington Twp,130
East Wichita - Soldier,1054
Easton City,124
Easton/Easton,690
EBC 111,783
ED01-01,2580
ED02-01,403
ED02-02,9
Eden,54
Eden Twnshp H79,318
Eden Twshp H116,27
Edgerton 0-01,1089
Edgerton 0-02,1
Edgerton 0-04,3
Edgerton 0-05,7
Edgerton 0-06,2
Edgerton 0-08,5
Edgerton 0-09,2
Effingham City,329
EG/11,546
El Dorado Twp East,130
El Dorado Twp West,400
El Dorado Twp West B,2
El Dorado W1,2561
El Dorado W2,3514
El Dorado W3,657
El Dorado W4,1634
El Dorado W4 A,36
Elbing City/Fairmount Twp,373
Elk Creek Twp / Agenda,88
Elk Falls City,90
Elk Falls Township,64
Elkader Twp.,8
Elkhart,1350
Elkhorn Township,104
Ellis City,1527
Ellsworth Twp,127
EllsworthTwp/Kanopolis,40
Elm Creek Twp,121
Elm Mills Township Prct4,103
Elmdale,26
Elmont - Soldier,1081
Elsmore City,41
Elwood City Precinct,678
Elwood Country Precinct,18
Elwood Township Prct5,135
Emma A3,380
Emmett,279
Empire Buckeye West,56
Empire Twp,212
Empire Venango East,81
Englewood,99
Ensign City,125
Enterprise 40,90
Enterprise City USD473,532
Enterprise Twp H115,420
Enterprise Twp H119,47
ER,72
Erving Township,29
Esbon City,82
Esbon Township,42
Eureka,64
Eureka Township,11
Eureka Twp,409
Evan,418
Everest City,182
Exeter,61
Fairfield Twp CC1,29
Fairplay,90
Fairview,185
Fairview 058,58
Fairview City,151
Fairview Twp,660
Fairview Twp / Munden,99
Fairview Twp CC3,61
Fairway 1-01,524
Fairway 1-02,371
Fairway 2-01,363
Fairway 2-02,394
Fairway 3-01,510
Fairway 3-02,461
Fairway 4-01,241
Fairway 4-02,268
Fairway 4-03,174
Fairway 4-04,250
Fall River City,121
Fall River Twp,108
Fall River TWP,183
Falls Twnshp,127
Fancy Crk Twp,83
Fargo Township 1,89
Fargo Township 2,59
Fargo Township 3,23
Fargo Township 4,330
Farmer Twp,263
Farmington 059,253
Farmington Precinct,107
Farmington Twp,40
Fawn Creek  Twp CC2,1068
Fawn Creek Twp CC3,376
Five Creeks,94
Flora,71
Florence 1st,133
Florence 2nd,164
Fontana City,131
Foote Twp,59
Forbes - Williamsport,85
Ford City,143
Ford Twp,93
Formoso City,54
Forrester,64
Fort Riley Pecinct B H68,796
Fort Riley Precinct A H65,578
Fort Riley Precinct B H65,551
Fort Scott 1st Ward,967
Fort Scott 2nd Ward,889
Fort Scott 3rd Ward,393
Fort Scott 4th Ward,793
Fort Scott 5th Ward,812
Fort Scott 6th Ward,2063
Fort Scott 7th Ward,1014
Fountain Twp,78
Fowler City,416
Fowler TWP,100
Fox - Soldier,814
Fragrant Hill,220
Franklin,845
Franklin East,328
Franklin Precinct,60
Franklin Township,315
Franklin Twp,1205
Fredonia Ward 1,288
Fredonia Ward 2,130
Fredonia Ward 3,137
Fredonia Ward 4,548
Freedom,135
Freedom Township,237
Freedom Twp,126
FRIEND 122,100
Frontenac 1st Ward,751
Frontenac 2nd Ward,995
Frontenac 3rd Ward,426
Frontenac 4th Ward,362
Ft. Leav,1462
Fulton City,108
FV/13,130
GA,1492
Gaeland,34
Gaillardia - Mission,813
Gale,187
Galesburg,163
Galt Twp,58
Galva City,534
Garden  A2,188
Gardner 0-01,2253
Gardner 0-02,11
Gardner 0-03,1236
Gardner 0-04,1300
Gardner 0-06,2149
Gardner 0-07,29
Gardner 0-08,640
Gardner 0-09,2343
Gardner 0-10,1492
Gardner 0-13,1423
Gardner 0-14,1053
Gardner 0-17,3
Gardner 0-19,452
Gardner 0-20,858
Gardner 0-22,93
Gardner 0-23,2
Gardner Twp 0-01,526
Gardner Twp 0-02,170
Gardner Twp 0-03,250
Gardner Twp 0-04,1
Gardner Twp 0-05,6
Gardner Twp 0-07,2
Gardner Twp 0-08,6
Gardner Twp 0-10,6
Gardner Twp 0-11,38
Gardner Twp 0-13,1
Gardner Twp 0-14,5
Gardner Twp 0-16,17
Gardner Twp 0-17,2
Gardner Twp 0-18,4
Gardner Twp 0-19,266
Gardner Twp 0-20,2
Gardner Twp 0-21,29
Gardner Twp 0-22,86
Gardner Twp 0-24,2
Gardner Twp 0-25,31
Garfield,589
Garfield 237 Township,6
Garfield 392 Township,23
Garfield City,97
Garfield Twp,88
Garfield Twsp.,94
Garnett City Prec. 1,812
Garnett City Prec. 2,695
Garnett City Prec. 3,625
Garnett City Prec. 4,194
Gas City,328
Gaylord City,67
"GBC-P1,W1",572
"GBC-P1,W2",955
"GBC-P1,W3",705
"GBC-P1,W4",701
"GBC-P2,W1",885
"GBC-P2,W2",850
"GBC-P2,W3",787
"GBC-P2,W4",611
"GBC-P3,W1",623
"GBC-P3,W2",870
"GBC-P3,W3",840
"GBC-P3,W4",296
GD,496
Gem / Lacey Twp,104
Geneva Twp,100
German Township,23
Gettysburg Township,57
Geuda Springs City,98
Gill,99
Gilman Township,118
Girard 1st Ward,219
Girard 2nd Ward,581
Girard 3rd Ward,438
Girard 4th Ward,607
Glade City,52
Glasco City / Solomon,335
Glen Elder City,283
Glen Elder Township,72
Glencoe Twp,145
Glenwood,35
Glenwood S5,451
Glenwood S9,1613
GN01,1104
GN09,2
GN10,2
GN13,2
GO,1792
GO01,1
GO02,86
GO04,159
GO05,1620
Goessel,353
Goff City,65
Golden Belt Township,33
Gore Twnshp H 79,357
Gore Twnshp H 82,191
Gore Twp H82-32,253
Gorham City,232
Goshen,38
Gove,146
GR,694
Graham Township,40
Grainfield,294
Granada Township,73
Grandview Plaza Precinct,853
Grandview Twp East H115 B,7
Grandview Twp H115,266
Grandview Twp Ward 2 H115 A,28
Grandview Twp Ward 2 H119 C,49
Granite,17
Grant,1611
Grant / Jamestown City,223
Grant 41,692
Grant 55 H42,77
Grant 55 H45,210
Grant Precinct,29
Grant Township,162
Grant Twp,1168
Grant Twp CC1,138
Grasshopper,266
Great Bend Twp A,951
Great Bend Twp B,147
Greeley City,189
Green,93
Green Garden Twp/Lorraine,48
Green Twp,142
Greene Twnshp,58
Greenfield Township,71
Greenleaf City,158
Greenleaf Precinct,58
Greenwood,28
Greenwood Twp,341
Grenola City,122
Gridley City,220
Grinnell,300
Grove - Grove,555
Grove 42,38
Groveland Twp,129
Guelph Twnshp,123
Guilford TWP,65
Guittard Twp,99
Guittard Twp/Beattie,128
GY01,2135
GY02,286
GY03,72
GY04,95
GY07,251
GY08,125
Gypsum Creek Twp,117
H.C.C. #1,134
H.C.C. #2,604
H.C.C. #3,206
HA/16,242
HA11,1323
HA13,2
HA15,1
HA17,453
HA21,1201
HA24,93
HA25,31
HA27,465
HA31,1405
HA33,106
HA35,176
HA41,1151
HA42,532
Haddam City,58
Haddam Precinct,41
Hallet,33
Halstead 1-1,539
Halstead 1-2,810
Halstead A7,247
Hamilton City,182
Hamlin City,23
"Hamlin Twp, Hamlin",88
"Hamlin Twp, Reserve",67
Hampden Twp.,118
Hampton-Fairview Twsp.,77
Hancock Twp,15
Hanover City,430
Hanover Precinct,162
Hanover Township,29
Happy Township,41
Harlan Township,61
Harmon Twnshp,239
Harmony,68
Harper City,815
Harper Twp,112
Harrison,58
Harrison-Goff,62
Harrison-Kelly,84
Harrison Township,12
Harrison Twp,485
Hartland Twp,78
Harvey,80
Harvey 110 Township,10
Harvey 237 Township,55
Haven City 75,840
Haven H101,233
Haven H114,81
Haviland,368
Haviland A TWP,53
Haviland TWP,94
Hawkeye Twp,20
Hayes,301
Hayes 060,132
Hayes 1,21
Hayes 44,47
Hayes Township,17
Hayes Twp,554
Hays W1 P1,597
Hays W1 P2,771
Hays W2 P1,846
Hays W2 P2,683
Hays W2 P3,524
Hays W2 P4,638
Hays W2 P5,517
Hays W3 P1,568
Hays W3 P2,900
Hays W3 P3,931
Hays W3 P4,2100
Hays W4 P1,736
Hays W4 P2,955
Hays W4 P3,720
Hays W4 P4,1363
Hays W4 P5,1103
Hazelton Township Prct6,90
HE 110,290
HE 111,969
Hendricks,80
Henry Twp,14
Hepler,76
Herington W1,559
Herington W2,600
Herington W4,376
Herkimer Twp,157
Herl,120
Herndon City,120
Hesston 1-1,1307
Hesston 1-2,1238
Hiawatha - Ward 1,336
Hiawatha - Ward 2,904
Hiawatha - Ward 3,768
Hiawatha - Ward 4,164
Hiawatha Twp,453
Hickory Twp,70
Highland,112
Highland A4,269
Highland City Precinct,428
Highland Country Precinct,272
Highland Precinct,16
Highland Township,81
Highland Twp,69
Highland1 - Prec 1,288
Highland2 - Prec 1,84
Highland3 - Prec 1,87
Highpoint,30
Hill City Township #71,8
Hill City Township #72,55
Hill City Township #73,40
Hillsboro 1st,802
Hillsboro 2nd,875
HO/18,242
Hois- Ward 4,430
Hois - Ward 1,474
Hois - Ward 2,470
Hois - Ward 3,417
HOLCOMB 122,1753
Holland,54
Hollenberg City,12
Holmwood Township,18
Home Township,110
Homestead,37
Homewood Twp,437
Hoosier,102
Hope,78
Hope City,229
Horace City,63
Horton - Ward 1,447
Horton - Ward 2,355
Horton - Ward 3,257
Houston 237 Township,32
Howard City,436
Howard Township,140
Hoyt City,410
HUFFMAN 122,728
Hugoton 1,496
Hugoton 2,824
Hugoton 3,901
Humboldt City,1297
Humboldt Twp,208
Hunnewell City,44
Hunter,40
Huntsville 45,87
Huron,118
Huron City,45
Hutchinson 1 H102,561
Hutchinson 1 H102A,33
Hutchinson 10,1008
Hutchinson 11,1039
Hutchinson 12,687
Hutchinson 13 H102,470
Hutchinson 13 H104,330
Hutchinson 14,742
Hutchinson 15,658
Hutchinson 16,995
Hutchinson 17,836
Hutchinson 18,464
Hutchinson 19,557
Hutchinson 2,583
Hutchinson 20,793
Hutchinson 21,1830
Hutchinson 22-H104,1090
Hutchinson 23 Exclave,258
Hutchinson 23 H104,1293
Hutchinson 24,820
Hutchinson 25,862
Hutchinson 26,419
Hutchinson 26 Exclave H102,107
Hutchinson 27,613
Hutchinson 28,1296
Hutchinson 28 Exclave,580
Hutchinson 29,623
Hutchinson 3,383
Hutchinson 30,448
Hutchinson 31,705
Hutchinson 32,194
Hutchinson 33,259
Hutchinson 34,133
Hutchinson 34 Exclave,2
Hutchinson 35,336
Hutchinson 4,1176
Hutchinson 5,853
Hutchinson 6,670
Hutchinson 7,805
Hutchinson 8,356
Hutchinson 9,991
Ichabod Washburn - Mission,12
IL01,1501
Illinois Township,166
Illinois Twnshp,127
Illinois Twsp.,38
Indep City Ward 1 Prec 1,3
Indep City Ward 1 Prec 1 CC1,335
Indep City Ward 1 Prec 2,41
Indep City Ward 1 Prec 2 CC1,432
Indep City Ward 2 Prec 1,3
Indep City Ward 2 Prec 1 CC1,239
Indep City Ward 2 Prec 2,111
Indep City Ward 2 Prec 2 CC2,102
Indep City Ward 3 Prec 1,457
Indep City Ward 3 Prec 2 Excla,1
Indep City Ward 3 Prec 2 H11,245
Indep City Ward 3 Prec 2 H12,30
Indep City Ward 4 Prec 1,508
Indep City Ward 4 Prec 2,393
Indep City Ward 5 Prec 1,396
Indep City Ward 5 Prec 2,527
Indep City Ward 6 Prec 1 H12,881
Indep City Ward 6 Prec 1 H12 C,41
Indep City Ward 6 Prec 2 H11,473
Indep City Ward 6 Prec 2 H11A,171
Indep City Ward 6 Prec 2 H11B,26
Indep City Ward 6 Prec 2 H12,103
Indep City Ward 6 Prec 2 H12B,18
Independence Precinct,76
Independence Twp,21
Independence Twp  2 Part AH12,214
Independence Twp 1 - H11,1195
Independence Twp 1 - H12,185
Independence Twp 1 Enclave H12,1
Independence Twp 2 Part C CC1,7
Independence Twp 2 Part CH11,64
Independence Twp CC1,30
Independent Twp,569
Indian Creek Twp,103
Indian Hills - Mission,654
Indiana Township,80
Indianola - Soldier,744
Ingalls City,181
Ingalls Twp,183
Inman City,906
Iola City,3561
Ionia Township,49
Iowa Township,19
Iroquois - Soldier,947
Irving Twp,224
Isbel Twp,59
Itasca Township,220
Ivanhoe,82
J BARKER 122-A,762
J BARKER 122-C,2
J BARKER 123-A,32
J BARKER 123-B,8
J BARKER 123-F,11
J BARKER 123-G,5
J BARKER 123-H,4
J BARKER 123-I,1
Jackson Township,125
