text_name_first,Count
Afaiah,1
Afam,1
Afaq,1
Afeef,1
Afeera,1
Afeni,1
Afentra,1
Affie,1
Afftin,2
Affton,1
Afi,1
Afia,2
Afiffa,1
Afiza,1
Aflah,1
Afnan,2
Afocha,1
Afon,1
Afra,1
Afrah,2
Afred,1
Afree,1
Afreen,1
Afreena,1
Africa,2
Afrika,2
Afrin,1
Afrina,1
Afrooz,1
Afroz,1
Afroza,2
Afroze,1
Afsaneh,5
Afsha,1
Afshan,1
Afshar,1
Afsheen,2
Afshene,1
Afshin,2
Aftabhusen,1
Aftan,5
Aften,5
Afton,42
Aftyn,2
Afua,2
Afzal,1
Ag,2
Agamani,1
Aganetha,2
Aganetta,1
Agape,1
Agapita,1
Agapito,6
Agar,1
Agassi,1
Agatanhi doda,1
Agatha,24
Agatha Vida,1
Agba,1
Agda,1
Age,1
Ageonia,1
Ager,1
Aggie,3
Agha,3
Aghiles,1
Agibail,1
Agie Lois,1
Aglaen,1
Agnella,1
Agnes,175
Agnes-Jocelyn,1
Agness,1
Agneta,1
Agnieszka,3
Agnieta,1
Agniya,1
Agnus,2
Agostino,2
Agron,1
Agueda,4
Aguedita,1
Agusta,1
Agustas,1
Agustin,74
Agustina,12
Agustine,1
Agustinus,1
Agustus,4
Agwu,1
Agyeman,1
Ah,2
Ah'nisha,1
Ah Hyun,1
Ah Niya Talise,1
Ahab,1
Ahadou,1
Ahalean,1
Ahalelyah,1
Ahamefula,1
Ahammed,1
Aharon,1
Ahava,1
Ahbay,1
Ahcene,2
Ahdaya,1
Ahed,1
Ahia,1
Ahiesha,1
Ahijah,1
Ahilyn,1
Ahimelec,1
Ahina,1
Ahinoam,2
Ahiram,1
Ahislem,2
Ahjah,1
Ahjanaye,1
Ahjany,1
Ahkeelah,1
Ahkel,1
Ahla,1
Ahlayna,1
Ahlesha,1
Ahlexa,1
Ahlexus,1
Ahlina,1
Ahliviyah,1
Ahliyah,1
Ahlyia,1
Ahlyssa,2
Ahmaan,1
Ahmad,79
Ahmadou,1
Ahmadric,1
Ahmal,2
Ahmani,1
Ahmat,1
Ahmaud,3
Ahmeasha,1
Ahmed,124
Ahmed Amine,1
Ahmedin,2
Ahmedrae,1
Ahmedyasin,1
Ahmet,4
Ahmik,1
Ahmir,1
Ahmni,1
Ahmon,1
Ahmya,1
Ahn Marie,1
Ahn Zure,1
Ahna,6
Ahnah,1
Ahnalika,1
Ahnawake,1
Ahne,1
Ahneka,1
Ahni,1
Ahnica,1
Ahnika,1
Ahniya,1
Ahnna,3
Ahnya,3
Ahoefa,1
Ahonesty,1
Ahou,1
Ahraar,1
Ahrash,1
Ahren,8
Ahriyon,1
Ahron,1
Ahsan,6
Ahsanul,1
Ahshani,1
Ahshantie,1
Ahshoni,1
Ahsley,1
Ahstawn,1
Ahtziri,2
Ahtziry,2
Ahvion,1
Ahvy,1
Ahyde,1
Ahyleen,1
Ai,8
Ai-Ja,1
Ai-Mei,1
Ai Leng,1
Ai Lien,1
Ai Ling,1
Ai Quynh,1
Ai Wen,1
Aia,1
Aianza,2
Aiasha,1
Aibree,1
Aicha,2
Aichen,1
Aiching,1
Aida,66
Aida Victoria,1
