precinct_text_designation,Count
B800,91
B800A,22
B8303,44
B900,593
B9804,17
BA,420
BA00802,58
BA01,2145
BA02,1822
BA0201,50
BA03,2770
BA04,3
BA101,35
BA20000,172
BAA,86
Banner,100
BC,371
BE,48
BE00035,43
BE0201,442
BE0401,34
BE202,244
BE502,206
BE90001,155
BEA,290
BFM,60
BG01NO,486
BG02SO,125
BG70002,32
BH40002,21
BHT,85
BL,42
BL00005,87
BL0401,91
BL0601,31
BL301,50
BL4,28
BLA0001,66
BM00001,165
BNT,58
BO5,26
BOA0000,117
BRW000,195
BS01-01,1219
BS02-01,1050
BS03-01,1296
BS04-01,1624
BT00402,38
BU,131
BU00074,928
BU0601,73
BUB,300
BUB1,35
BW002,74
C00004,112
C001,2253
C002,11
C003,1236
C004,1300
C006,2149
C007,29
C008,640
C009,2343
C010,1492
C013,1423
C014,1053
C017,3
C019,452
C020,858
C022,93
C023,2
C1,534
C100,22
C100009,39
C1603,51
C1W,5
C200,120
C2304,26
C2a,1639
C2b,542
C2E,2
C300,179
C3305,40
C3a,496
C3b,371
C4,403
C400,145
C4604,21
C4a,260
C5,64
C500,64
C5205,48
C5a,77
C5b,118
C600,207
C6503,43
C700,142
C7105,25
C8,402
C800,274
C900,85
CA,128
CA00036,228
CA003,49
CA20002,33
CA700,60
CAB,115
CAN,146
CAN (A),301
CAN (B),5
CC,200
CC10002,66
CC20003,18
CCC,78
CD,739
CD000,126
CD00006,206
CD0801,63
CE,430
CE00002,340
CE00037,172
CE00702,57
CE0801,62
CE1003,50
CE1004,83
CE800,54
CE90002,510
CEA0003,19
CEC01,282
CED,134
CEN,400
Center,33
Center2,247
CG1,437
CG2,372
CG3,622
CH,730
CH000,100
CH1001,36
CH13,470
CH2,1
CH9,159
CHG,48
CL,94
CL000,81
CL004,85
CL201,69
CN000,326
CN00038,728
CNC,396
CNENCL,4
CNT,147
CO,225
CO005,38
CO102,139
CO1201,198
CO302,42
COD0001,13
COI,44
CP1401,15
CP1W2,616
CP1W3,1234
CP1W3EX,1
CP1W4,728
CP2W2,657
CP2W3,549
CP2W4,480
CP2W4A,8
CP2W4B,1
CP3W3,199
CP3W3EX,4
CP3W3H7,900
CP3W4,44
CP3W4EC,5
CP3W4H7,439
CS102-1,138
CSH102,4
CSH104,461
CSH114,212
CST,50
CT000NO,370
CT000SO,387
CT10009,76
CU,510
CU1401,78
CU40003,38
CV401,9
CVD,99
CW1,210
CX000,290
D00005,59
D100,91
D100017,28
D101,1431
D102,1144
D103,770
D104,1371
D105,1116
D106,1832
D108,2145
D109,1301
D111,1121
D113,925
D114,1045
D115,613
D116,1633
D117,523
D118,1439
D119,662
D120,350
D121,1610
D122,2320
D125,368
D126,11
D127,566
D200,136
D200010,62
D201,664
D202,1102
D203,1018
D204,629
D205,1990
D206,1948
D207,1864
D208,1594
D209,874
D210,2501
D211,2272
D212,1390
D213,1037
D214,1001
D215,1383
D216,1066
D219,13
D221,582
D222,2360
D223,1355
D224,580
D300,80
D300A,6
D300B,1
D300D,166
D300E,17
D301,773
D302,342
D303,712
D304,1346
D305,1570
D306,870
D307,896
D308,593
D309,785
D310,1385
D311,1538
D313,1329
D315,1119
D316,1337
D317,1630
D318,1213
D319,884
D320,997
D321,1468
D322,1139
D323,1173
D324,647
D325,1270
D401,1775
D402,1593
D403,1854
D404,1143
D405,1465
D406,1253
D407,1089
D408,1204
D409,1678
D410,1095
D411,853
D412,1911
D413,941
D414,1770
D415,182
D416,1387
D417,1317
DB11,1066
DB12,1315
DB124,437
DB13,1
DB14,1198
DB19,1
DB211,957
DB22,1634
DB23,2032
DB31,475
DB315,41
DB32,1287
DB321,1051
DB325,134
DB326,192
DB341,91
DB345,3
DB36,991
DB37,304
DB38,16
DB41,809
DB42,1564
DB433,64
DB434,9
DB436,789
DB437,60
DB440,1280
DC,85
DC000,39
DE501,21
DET,107
DG,1276
DG00005,410
DL03,1
DL04,2
DL10,3
DO,35
DO1601,2
DO1602,22
DO1604,3
DP,69
DR,211
DR0000,316
DU1601,11
DW01-01,31
E-OG,50
E00006,183
E001,1896
E003,706
E004,3
E005,347
E008,204
E009,1005
EA,815
EB,130
EC018,435
EC019,420
EC020,521
EC025,57
ED01-01,2580
ED02-01,403
ED02-02,9
EE007,56
EE008,81
EET,417
EF000EF,64
EL,677
EL0EL,8
EMC,953
EMT,212
EN0004,90
ER,72
ES00001,316
ES9,39
EU30000,308
EU60004,11
EV6,313
EV9A,18
EV9B,2
EW006,127
EW022,40
F00007,146
F100001,78
F100014,61
F11,133
F22,164
FA,90
FAX,383
FC,131
FE0000,237
FHE,220
FI,30
FLF01,71
FMF,107
FO1801,78
FR,405
FR000,183
FR0000,252
FR40001,108
FR601,60
FRE,328
FS01,967
FS01B,15
FS01C,20
FS02,889
FS03,393
FS04,793
FS05,812
FS06,2063
FS07,1014
FT,928
FT10001,100
FU0000,108
FX,113
G00008,192
G100001,115
G100014,35
G101,524
G102,371
G200013,17
G201,363
G202,394
G300014,28
G301,510
G302,461
G401,241
G402,268
G403,174
G404,250
GA,2047
GA00003,97
GA00900,94
GA1801,6
GA1802,23
GA2001,62
GA50002,26
GAC,534
GAG,144
GC,353
GCT,117
GD,496
GE2001,23
GE30002,72
GF000GR,71
GF009,32
GG023,48
GI50002,118
GL301,58
GN01,1104
GN09,2
GN10,2
GN13,2
GO,1792
GO01,1
GO02,86
GO04,159
GO05,1620
GR,991
GR00041,692
GR102,25
GR2201,67
GR60002,32
GRA,32
GRAN,279
GRE,73
GRH,777
GRT,129
GT,461
GU000,65
GV00042,38
GY01,2135
GY02,286
GY03,72
GY04,95
GY07,251
GY08,125
